year,SmileysEmotion,PeopleBody,AnimalsNature,FoodDrink,TravelPlaces,Activities,Objects,Symbols,Flags
1995,5,3,0,0,10,4,6,48,0
2000,5,3,0,0,10,4,6,50,0
2002,5,3,0,0,10,4,6,58,0
2003,5,3,0,1,12,4,7,62,0
2005,5,3,1,1,13,4,14,67,0
2008,5,3,1,1,14,5,14,69,0
2009,5,3,1,1,28,11,15,75,0
2010,93,102,83,62,158,47,155,194,251
2012,106,102,83,62,158,47,155,194,251
2014,112,112,88,64,194,47,195,200,251
2015,122,113,92,71,197,55,195,202,251
2016,130,241,101,91,201,62,196,205,253
2017,140,270,107,104,202,64,201,205,256
2018,146,292,117,111,205,75,220,206,257
2019,149,311,124,120,211,78,235,218,257
